location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Costa Rica,2020-12-24,Pfizer/BioNTech,https://www.presidencia.go.cr/comunicados/2020/12/55-ticos-recibieron-la-primera-dosis-de-la-vacuna-contra-covid-19-este-24-de-diciembre/,55,,
Costa Rica,2021-01-03,Pfizer/BioNTech,https://www.ccss.sa.cr/noticias/servicios_noticia?2-455-personas-iniciaron-nuevo-ano-con-la-primera-dosis-de-la-vacuna-contra-covid-19,2455,,
Costa Rica,2021-01-08,Pfizer/BioNTech,https://www.ccss.sa.cr/noticias/servicios_noticia?9-751-personas-recibieron-primera-dosis-de-vacuna-para-evitar-la-covid19,9751,,
Costa Rica,2021-01-15,Pfizer/BioNTech,https://www.ccss.sa.cr/noticias/servicios_noticia?ccss-registra-24-859-vacunas-contra-la-covid19-aplicadas,24859,24804,55
Costa Rica,2021-01-18,Pfizer/BioNTech,https://www.larepublica.net/noticia/sube-a-29389-las-dosis-de-vacunas-covid-19-aplicadas-en-costa-rica/,29389,29257,132
Costa Rica,2021-01-25,Pfizer/BioNTech,https://www.ccss.sa.cr/noticias/servicios_noticia?ccss-ha-colocado-48-128-vacunas-contra-la-covid-19,48128,45707,2421
Costa Rica,2021-02-01,Pfizer/BioNTech,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712,57701,45863,11838
Costa Rica,2021-02-08,Pfizer/BioNTech,https://twitter.com/CarlosAlvQ/status/1358890771701633025,75113,46750,28363
Costa Rica,2021-02-15,Pfizer/BioNTech,https://www.ccss.sa.cr/noticias/servicios_noticia?42-mil-costarricenses-completaron-esquema-de-vacunacion-contra-covid&fbclid=IwAR0Dk1K7u-UwcfZ1oubVY3Y3PczK2JorY6ETERZMVXZreXYqnwrI5QYZ6kE,96948,54395,42553
Costa Rica,2021-02-22,Pfizer/BioNTech,https://www.larepublica.net/noticia/en-costa-rica-ya-se-aplicaron-mas-de-100-mil-vacunas-contra-covid-19,101183,57162,44021
Costa Rica,2021-03-01,Pfizer/BioNTech,https://www.ccss.sa.cr/noticias/salud_noticia?ccss-registra-149-812-vacunas-aplicadas-contra-la-covid-19&fbclid=IwAR1kpWQVip70s5t3IAXdYdQ0StmIdd5SmVDw5Hsv8yjOHrzndCv95_VwNXc,149812,103695,46117
Costa Rica,2021-03-05,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,193273,142049,51224
Costa Rica,2021-03-08,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,204586,151841,52745
Costa Rica,2021-03-12,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,241724,187826,53898
Costa Rica,2021-03-15,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,248082,190088,57994
Costa Rica,2021-03-22,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,312425,206198,106227
Costa Rica,2021-03-24,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,348037,213404,134633
Costa Rica,2021-03-29,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,384355,224092,160263
Costa Rica,2021-04-06,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,504930,291368,213562
Costa Rica,2021-04-12,Pfizer/BioNTech,https://www.ccss.sa.cr/web/coronavirus/vacunacion,586799,354291,232508
