date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,23894,Germany
2020-12-28,Pfizer/BioNTech,43724,Germany
2020-12-29,Pfizer/BioNTech,87184,Germany
2020-12-30,Pfizer/BioNTech,144989,Germany
2020-12-31,Pfizer/BioNTech,183046,Germany
2021-01-01,Pfizer/BioNTech,207503,Germany
2021-01-02,Pfizer/BioNTech,258783,Germany
2021-01-03,Pfizer/BioNTech,284027,Germany
2021-01-04,Pfizer/BioNTech,332908,Germany
2021-01-05,Pfizer/BioNTech,385263,Germany
2021-01-06,Pfizer/BioNTech,443563,Germany
2021-01-07,Pfizer/BioNTech,502127,Germany
2021-01-08,Pfizer/BioNTech,562047,Germany
2021-01-09,Pfizer/BioNTech,618671,Germany
2021-01-10,Pfizer/BioNTech,651898,Germany
2021-01-11,Pfizer/BioNTech,717478,Germany
2021-01-12,Pfizer/BioNTech,799369,Germany
2021-01-13,Pfizer/BioNTech,897120,Germany
2021-01-14,Pfizer/BioNTech,993496,Germany
2021-01-15,Pfizer/BioNTech,1081425,Germany
2021-01-16,Pfizer/BioNTech,1136387,Germany
2021-01-17,Pfizer/BioNTech,1179520,Germany
2021-01-18,Pfizer/BioNTech,1251854,Germany
2021-01-19,Pfizer/BioNTech,1344674,Germany
2021-01-20,Pfizer/BioNTech,1471084,Germany
2021-01-21,Pfizer/BioNTech,1564668,Germany
2021-01-22,Pfizer/BioNTech,1677305,Germany
2021-01-23,Pfizer/BioNTech,1768132,Germany
2021-01-24,Pfizer/BioNTech,1833541,Germany
2021-01-25,Pfizer/BioNTech,1928692,Germany
2021-01-26,Pfizer/BioNTech,2029097,Germany
2021-01-27,Pfizer/BioNTech,2139003,Germany
2021-01-28,Pfizer/BioNTech,2232540,Germany
2021-01-29,Pfizer/BioNTech,2340115,Germany
2021-01-30,Pfizer/BioNTech,2424632,Germany
2021-01-31,Pfizer/BioNTech,2486643,Germany
2021-02-01,Pfizer/BioNTech,2598210,Germany
2021-02-02,Pfizer/BioNTech,2721196,Germany
2021-02-03,Pfizer/BioNTech,2852768,Germany
2021-02-04,Pfizer/BioNTech,2980746,Germany
2021-02-05,Pfizer/BioNTech,3105308,Germany
2021-02-06,Pfizer/BioNTech,3201925,Germany
2021-02-07,Pfizer/BioNTech,3256790,Germany
2021-02-08,Pfizer/BioNTech,3350684,Germany
2021-02-09,Pfizer/BioNTech,3473454,Germany
2021-02-10,Pfizer/BioNTech,3591012,Germany
2020-12-27,Moderna,0,Germany
2020-12-28,Moderna,0,Germany
2020-12-29,Moderna,0,Germany
2020-12-30,Moderna,0,Germany
2020-12-31,Moderna,0,Germany
2021-01-01,Moderna,0,Germany
2021-01-02,Moderna,0,Germany
2021-01-03,Moderna,0,Germany
2021-01-04,Moderna,0,Germany
2021-01-05,Moderna,0,Germany
2021-01-06,Moderna,0,Germany
2021-01-07,Moderna,0,Germany
2021-01-08,Moderna,0,Germany
2021-01-09,Moderna,0,Germany
2021-01-10,Moderna,0,Germany
2021-01-11,Moderna,0,Germany
2021-01-12,Moderna,0,Germany
2021-01-13,Moderna,795,Germany
2021-01-14,Moderna,4920,Germany
2021-01-15,Moderna,9807,Germany
2021-01-16,Moderna,11658,Germany
2021-01-17,Moderna,13073,Germany
2021-01-18,Moderna,15086,Germany
2021-01-19,Moderna,16660,Germany
2021-01-20,Moderna,17987,Germany
2021-01-21,Moderna,19084,Germany
2021-01-22,Moderna,20514,Germany
2021-01-23,Moderna,20897,Germany
2021-01-24,Moderna,21141,Germany
2021-01-25,Moderna,22661,Germany
2021-01-26,Moderna,24247,Germany
2021-01-27,Moderna,26155,Germany
2021-01-28,Moderna,32637,Germany
2021-01-29,Moderna,34040,Germany
2021-01-30,Moderna,34845,Germany
2021-01-31,Moderna,35188,Germany
2021-02-01,Moderna,36765,Germany
2021-02-02,Moderna,38794,Germany
2021-02-03,Moderna,44090,Germany
2021-02-04,Moderna,48996,Germany
2021-02-05,Moderna,53227,Germany
2021-02-06,Moderna,56605,Germany
2021-02-07,Moderna,60065,Germany
2021-02-08,Moderna,63156,Germany
2021-02-09,Moderna,67379,Germany
2021-02-10,Moderna,72139,Germany
2020-12-27,Oxford/AstraZeneca,0,Germany
2020-12-28,Oxford/AstraZeneca,0,Germany
2020-12-29,Oxford/AstraZeneca,0,Germany
2020-12-30,Oxford/AstraZeneca,0,Germany
2020-12-31,Oxford/AstraZeneca,0,Germany
2021-01-01,Oxford/AstraZeneca,0,Germany
2021-01-02,Oxford/AstraZeneca,0,Germany
2021-01-03,Oxford/AstraZeneca,0,Germany
2021-01-04,Oxford/AstraZeneca,0,Germany
2021-01-05,Oxford/AstraZeneca,0,Germany
2021-01-06,Oxford/AstraZeneca,0,Germany
2021-01-07,Oxford/AstraZeneca,0,Germany
2021-01-08,Oxford/AstraZeneca,0,Germany
2021-01-09,Oxford/AstraZeneca,0,Germany
2021-01-10,Oxford/AstraZeneca,0,Germany
2021-01-11,Oxford/AstraZeneca,0,Germany
2021-01-12,Oxford/AstraZeneca,0,Germany
2021-01-13,Oxford/AstraZeneca,0,Germany
2021-01-14,Oxford/AstraZeneca,0,Germany
2021-01-15,Oxford/AstraZeneca,0,Germany
2021-01-16,Oxford/AstraZeneca,0,Germany
2021-01-17,Oxford/AstraZeneca,0,Germany
2021-01-18,Oxford/AstraZeneca,0,Germany
2021-01-19,Oxford/AstraZeneca,0,Germany
2021-01-20,Oxford/AstraZeneca,0,Germany
2021-01-21,Oxford/AstraZeneca,0,Germany
2021-01-22,Oxford/AstraZeneca,0,Germany
2021-01-23,Oxford/AstraZeneca,0,Germany
2021-01-24,Oxford/AstraZeneca,0,Germany
2021-01-25,Oxford/AstraZeneca,0,Germany
2021-01-26,Oxford/AstraZeneca,0,Germany
2021-01-27,Oxford/AstraZeneca,0,Germany
2021-01-28,Oxford/AstraZeneca,0,Germany
2021-01-29,Oxford/AstraZeneca,0,Germany
2021-01-30,Oxford/AstraZeneca,0,Germany
2021-01-31,Oxford/AstraZeneca,0,Germany
2021-02-01,Oxford/AstraZeneca,0,Germany
2021-02-02,Oxford/AstraZeneca,0,Germany
2021-02-03,Oxford/AstraZeneca,0,Germany
2021-02-04,Oxford/AstraZeneca,0,Germany
2021-02-05,Oxford/AstraZeneca,0,Germany
2021-02-06,Oxford/AstraZeneca,0,Germany
2021-02-07,Oxford/AstraZeneca,0,Germany
2021-02-08,Oxford/AstraZeneca,15,Germany
2021-02-09,Oxford/AstraZeneca,43,Germany
2021-02-10,Oxford/AstraZeneca,5997,Germany
