vaccine,date,total_vaccinations,location
Pfizer/BioNTech,2020-12-24,420.0,Chile
Pfizer/BioNTech,2020-12-25,5198.0,Chile
Pfizer/BioNTech,2020-12-26,8338.0,Chile
Pfizer/BioNTech,2020-12-27,8649.0,Chile
Pfizer/BioNTech,2020-12-28,8649.0,Chile
Pfizer/BioNTech,2020-12-29,8649.0,Chile
Pfizer/BioNTech,2020-12-30,8649.0,Chile
Pfizer/BioNTech,2020-12-31,8649.0,Chile
Pfizer/BioNTech,2021-01-01,8649.0,Chile
Pfizer/BioNTech,2021-01-02,8649.0,Chile
Pfizer/BioNTech,2021-01-03,8649.0,Chile
Pfizer/BioNTech,2021-01-04,9054.0,Chile
Pfizer/BioNTech,2021-01-05,10497.0,Chile
Pfizer/BioNTech,2021-01-06,10702.0,Chile
Pfizer/BioNTech,2021-01-07,10702.0,Chile
Pfizer/BioNTech,2021-01-08,10702.0,Chile
Pfizer/BioNTech,2021-01-09,10702.0,Chile
Pfizer/BioNTech,2021-01-10,10702.0,Chile
Pfizer/BioNTech,2021-01-11,10702.0,Chile
Pfizer/BioNTech,2021-01-12,10702.0,Chile
Pfizer/BioNTech,2021-01-13,11732.0,Chile
Pfizer/BioNTech,2021-01-14,18646.0,Chile
Pfizer/BioNTech,2021-01-15,22077.0,Chile
Pfizer/BioNTech,2021-01-16,22167.0,Chile
Pfizer/BioNTech,2021-01-17,22167.0,Chile
Pfizer/BioNTech,2021-01-18,33212.0,Chile
Pfizer/BioNTech,2021-01-19,52569.0,Chile
Pfizer/BioNTech,2021-01-20,61878.0,Chile
Pfizer/BioNTech,2021-01-21,64940.0,Chile
Pfizer/BioNTech,2021-01-22,65352.0,Chile
Pfizer/BioNTech,2021-01-23,65352.0,Chile
Pfizer/BioNTech,2021-01-24,65352.0,Chile
Pfizer/BioNTech,2021-01-25,66772.0,Chile
Pfizer/BioNTech,2021-01-26,67388.0,Chile
Pfizer/BioNTech,2021-01-27,67423.0,Chile
Pfizer/BioNTech,2021-01-28,67423.0,Chile
Pfizer/BioNTech,2021-01-29,67428.0,Chile
Pfizer/BioNTech,2021-01-30,67428.0,Chile
Pfizer/BioNTech,2021-01-31,67428.0,Chile
Pfizer/BioNTech,2021-02-01,67428.0,Chile
Pfizer/BioNTech,2021-02-02,67434.0,Chile
Pfizer/BioNTech,2021-02-03,67434.0,Chile
Pfizer/BioNTech,2021-02-04,69562.0,Chile
Pfizer/BioNTech,2021-02-05,70250.0,Chile
Pfizer/BioNTech,2021-02-06,70255.0,Chile
Pfizer/BioNTech,2021-02-07,70255.0,Chile
Pfizer/BioNTech,2021-02-08,82044.0,Chile
Pfizer/BioNTech,2021-02-09,101497.0,Chile
Pfizer/BioNTech,2021-02-10,109925.0,Chile
Pfizer/BioNTech,2021-02-11,112986.0,Chile
Pfizer/BioNTech,2021-02-12,113339.0,Chile
Pfizer/BioNTech,2021-02-13,113373.0,Chile
Pfizer/BioNTech,2021-02-14,113373.0,Chile
Pfizer/BioNTech,2021-02-15,113374.0,Chile
Pfizer/BioNTech,2021-02-16,113384.0,Chile
Pfizer/BioNTech,2021-02-17,113384.0,Chile
Pfizer/BioNTech,2021-02-18,113385.0,Chile
Pfizer/BioNTech,2021-02-19,113385.0,Chile
Pfizer/BioNTech,2021-02-20,113385.0,Chile
Pfizer/BioNTech,2021-02-21,113385.0,Chile
Pfizer/BioNTech,2021-02-22,125484.0,Chile
Pfizer/BioNTech,2021-02-23,150333.0,Chile
Pfizer/BioNTech,2021-02-24,178855.0,Chile
Pfizer/BioNTech,2021-02-25,212572.0,Chile
Pfizer/BioNTech,2021-02-26,242306.0,Chile
Pfizer/BioNTech,2021-02-27,248629.0,Chile
Pfizer/BioNTech,2021-02-28,248631.0,Chile
Pfizer/BioNTech,2021-03-01,263535.0,Chile
Pfizer/BioNTech,2021-03-02,294456.0,Chile
Pfizer/BioNTech,2021-03-03,313011.0,Chile
Pfizer/BioNTech,2021-03-04,322118.0,Chile
Pfizer/BioNTech,2021-03-05,327871.0,Chile
Pfizer/BioNTech,2021-03-06,328215.0,Chile
Pfizer/BioNTech,2021-03-07,328320.0,Chile
Pfizer/BioNTech,2021-03-08,340888.0,Chile
Pfizer/BioNTech,2021-03-09,378442.0,Chile
Pfizer/BioNTech,2021-03-10,419960.0,Chile
Pfizer/BioNTech,2021-03-11,465577.0,Chile
Pfizer/BioNTech,2021-03-12,482958.0,Chile
Pfizer/BioNTech,2021-03-13,483509.0,Chile
Pfizer/BioNTech,2021-03-14,483509.0,Chile
Pfizer/BioNTech,2021-03-15,507369.0,Chile
Pfizer/BioNTech,2021-03-16,560849.0,Chile
Pfizer/BioNTech,2021-03-17,616313.0,Chile
Pfizer/BioNTech,2021-03-18,665852.0,Chile
Pfizer/BioNTech,2021-03-19,689009.0,Chile
Pfizer/BioNTech,2021-03-20,690926.0,Chile
Pfizer/BioNTech,2021-03-21,690936.0,Chile
Pfizer/BioNTech,2021-03-22,726998.0,Chile
Pfizer/BioNTech,2021-03-23,786849.0,Chile
Pfizer/BioNTech,2021-03-24,839698.0,Chile
Pfizer/BioNTech,2021-03-25,894243.0,Chile
Pfizer/BioNTech,2021-03-26,932223.0,Chile
Pfizer/BioNTech,2021-03-27,934251.0,Chile
Pfizer/BioNTech,2021-03-28,934251.0,Chile
Pfizer/BioNTech,2021-03-29,956259.0,Chile
Pfizer/BioNTech,2021-03-30,1013695.0,Chile
Pfizer/BioNTech,2021-03-31,1059796.0,Chile
Pfizer/BioNTech,2021-04-01,1083485.0,Chile
Pfizer/BioNTech,2021-04-02,1083704.0,Chile
Pfizer/BioNTech,2021-04-03,1083894.0,Chile
Sinovac,2021-02-02,13189.0,Chile
Sinovac,2021-02-03,183531.0,Chile
Sinovac,2021-02-04,357557.0,Chile
Sinovac,2021-02-05,526167.0,Chile
Sinovac,2021-02-06,554040.0,Chile
Sinovac,2021-02-07,562675.0,Chile
Sinovac,2021-02-08,784087.0,Chile
Sinovac,2021-02-09,1026445.0,Chile
Sinovac,2021-02-10,1298827.0,Chile
Sinovac,2021-02-11,1549889.0,Chile
Sinovac,2021-02-12,1778941.0,Chile
Sinovac,2021-02-13,1808447.0,Chile
Sinovac,2021-02-14,1812912.0,Chile
Sinovac,2021-02-15,2078742.0,Chile
Sinovac,2021-02-16,2298736.0,Chile
Sinovac,2021-02-17,2486738.0,Chile
Sinovac,2021-02-18,2641973.0,Chile
Sinovac,2021-02-19,2784078.0,Chile
Sinovac,2021-02-20,2793716.0,Chile
Sinovac,2021-02-21,2794880.0,Chile
Sinovac,2021-02-22,2890913.0,Chile
Sinovac,2021-02-23,2960319.0,Chile
Sinovac,2021-02-24,3017989.0,Chile
Sinovac,2021-02-25,3070341.0,Chile
Sinovac,2021-02-26,3118830.0,Chile
Sinovac,2021-02-27,3122548.0,Chile
Sinovac,2021-02-28,3122901.0,Chile
Sinovac,2021-03-01,3245517.0,Chile
Sinovac,2021-03-02,3385913.0,Chile
Sinovac,2021-03-03,3679045.0,Chile
Sinovac,2021-03-04,3980196.0,Chile
Sinovac,2021-03-05,4271924.0,Chile
Sinovac,2021-03-06,4305364.0,Chile
Sinovac,2021-03-07,4313173.0,Chile
Sinovac,2021-03-08,4650596.0,Chile
Sinovac,2021-03-09,4988998.0,Chile
Sinovac,2021-03-10,5347727.0,Chile
Sinovac,2021-03-11,5718049.0,Chile
Sinovac,2021-03-12,6074198.0,Chile
Sinovac,2021-03-13,6123980.0,Chile
Sinovac,2021-03-14,6130505.0,Chile
Sinovac,2021-03-15,6536188.0,Chile
Sinovac,2021-03-16,6891928.0,Chile
Sinovac,2021-03-17,7203148.0,Chile
Sinovac,2021-03-18,7487560.0,Chile
Sinovac,2021-03-19,7758434.0,Chile
Sinovac,2021-03-20,7790666.0,Chile
Sinovac,2021-03-21,7794807.0,Chile
